,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
0,51624,Q,SUNDAY,Q46,WB,1049,1127,7.792999999999999,L.I.J.MEDICAL RDWY / 271 ST,QUEENS BL / 78 CR,Local,40.755062,-73.70640999999999,40.714733,-73.83123,948.0,1029.0,EB,40.71522,-73.70659,1145.0,1226.0,EB,41.0,0
1,51625,Q,SUNDAY,Q101,SB,1645,1716,5.02,HAZEN ST / 19 AV,E 60 ST / 2 AV,Local,40.77357,-73.89329000000001,40.761215,-73.963646,1600.0,1629.0,NB,40.76125,-73.89365,1800.0,1829.0,NB,29.0,0
2,51626,BX,SUNDAY,BX19,NB,1533,1642,7.017,RIVERBANK / STATE PARK,SOUTHERN BL / BOTANICAL GARDENS,Local,40.82665,-73.955505,40.861202,-73.88067,1404.0,1515.0,SB,40.861247999999996,-73.95538,1717.0,1825.0,SB,68.0,0
3,51627,BX,SUNDAY,BX29,WB,1738,1806,6.223,CITY ISLAND AV / ROCHELLE ST,CO-OP CITY BL / Bartow Av,Local,40.83918,-73.78325,40.86882,-73.82646,1616.0,1638.0,EB,40.869279999999996,-73.78363,1840.0,1904.0,EB,24.0,0
4,51628,B,WKD,B36,WB,1749,1831,4.731,NOSTRAND AV / GRAVESEND NECK RD,SURF AV / W 37 ST,Local,40.59997,-73.94187,40.57343,-74.00248,1640.0,1733.0,EB,40.57378,-73.94187,1847.0,1932.0,EB,45.0,0
5,51629,B,WKD,B2,WB,702,725,2.481,FLATBUSH AV / AV U,QUENTIN RD / E 16 ST,Local,40.609528000000005,-73.92182,40.608433000000005,-73.95713,620.0,636.0,EB,40.607384,-73.92179,740.0,801.0,EB,21.0,0
6,51630,M,WKD,M98,SB,801,904,7.2170000000000005,FT WASHINGTON AV / CABRINI BL,LEXINGTON AV / E 68 ST,Limited,40.859207,-73.93428,40.767742,-73.96426,650.0,728.0,NB,40.767113,-73.93418,935.0,1013.0,NB,38.0,0
7,51631,Q,WKD,Q64,EB,925,944,2.787,108 ST / QUEENS BL,JEWEL AV / 164 ST,Local,40.721783,-73.84395,40.73182,-73.80530999999999,849.0,907.0,WB,40.731840000000005,-73.843925,1000.0,1017.0,WB,17.0,0
8,51632,Q,WKD,Q7,EB,945,1026,6.635,PITKIN AV / EUCLID AV,S CARGO RD / CARGO PLZ,Local,40.675495,-73.87178,40.652985,-73.79466,840.0,915.0,WB,40.65291,-73.871666,1045.0,1127.0,WB,42.0,0
9,51633,Q,WKD,Q37,NB,1235,1310,5.36,135 RD / 130 PL,UNION TPK / KEW GARDENS RD,Local,40.66767,-73.80851,40.713963,-73.831375,1130.0,1200.0,SB,40.714034999999996,-73.80873000000001,1345.0,1419.0,SB,34.0,0
10,51634,B,WKD,B31,SB,935,952,2.835,QUENTIN RD / E 16 ST,GERRITSEN AV / GERRITSEN BCH,Local,40.608433000000005,-73.95713,40.587134999999996,-73.91894,848.0,910.0,NB,40.5871,-73.95709000000001,1008.0,1026.0,NB,18.0,0
11,51635,S,WKD,S74,WB,800,921,16.832,ST GEORGE FERRY / S74 & S84,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,Local,40.643409999999996,-74.07358599999999,40.52948,-74.231064,610.0,730.0,EB,40.528343,-74.07313,955.0,1115.0,EB,80.0,0
12,51636,M,WKD,M35,EB,1950,1959,2.3819999999999997,LEXINGTON AV / E 125 ST,SUNKEN GARDEN LOOP / Charles Gay CTR,Local,40.80458,-73.937416,40.785095,-73.93084,1912.0,1922.0,WB,40.785088,-73.93725,2019.0,2029.0,WB,10.0,0
13,51637,BX,WKD,BX16,EB,1419,1507,7.037000000000001,E 206 ST / ROCHAMBEAU AV,ROPES AV / BOSTON RD,Local,40.874893,-73.8808,40.889843,-73.81952,1320.0,1404.0,WB,40.88997,-73.87955,1533.0,1618.0,WB,45.0,0
14,51638,B,WKD,B47,SB,2144,2237,7.864,MARCUS GARVEY BLVD / BROADWAY,AV U / E 54 ST,Local,40.699577000000005,-73.94144,40.611008,-73.92041,2030.0,2125.0,NB,40.611008,-73.94147,2320.0,5.0,NB,45.0,0
15,51639,Q,WKD,Q46,WB,1338,1419,7.792999999999999,L.I.J.MEDICAL RDWY / 271 ST,QUEENS BL / 78 CR,Local,40.755062,-73.70640999999999,40.714733,-73.83123,1232.0,1317.0,EB,40.71522,-73.70659,1440.0,1528.0,EB,48.0,0
16,51640,BX,WKD,BX18,EB,2035,2046,1.703,SEDGWICK AV / HARLEM RIVER BRIDGE,E 170 ST / GRAND CONCOURSE,Local,40.85202,-73.92066,40.838512,-73.91358000000001,1953.0,2017.0,WB,40.83873,-73.92074000000001,2136.0,2155.0,WB,19.0,0
17,51641,B,WKD,B15,WB,947,1114,13.269,JFK TERMINAL 5 / AIR TRAIN STATION,MARCUS GARVEY BL / BROADWAY,Local,40.647465000000004,-73.779884,40.69975,-73.94147,742.0,912.0,EB,40.699715000000005,-73.77951999999999,1134.0,1256.0,EB,82.0,0
18,47590,Q,WKD,Q103,SB,1450,1512,3.4389999999999996,27 AV / 2 ST,VERNON BL / BORDEN AV,Local,40.775143,-73.93493000000001,40.741528,-73.95464,1350.0,1411.0,NB,40.74147,-73.93513,1550.0,1614.0,NB,24.0,0
19,47593,Q,WKD,Q103,SB,1830,1850,3.4389999999999996,27 AV / 2 ST,VERNON BL / BORDEN AV,Local,40.775143,-73.93493000000001,40.741528,-73.95464,1730.0,1754.0,NB,40.74147,-73.93513,1930.0,1952.0,NB,22.0,0
20,47597,Q,WKD,Q104,NB,1030,1055,2.945,48 ST / QUEENS BL,11 ST / 34 AV,Local,40.743320000000004,-73.91691,40.764744,-73.93765,930.0,949.0,SB,40.76485,-73.91689000000001,1130.0,1151.0,SB,21.0,0
21,51354,B,SATURDAY,B24,NB,925,1006,6.888,WASHINGTON PL / LANE 6,GREENPOINT AV / MANHATTAN AV,Local,40.70912,-73.95984,40.730087,-73.954575,800.0,839.0,SB,40.730103,-73.95978000000001,1100.0,1142.0,SB,42.0,0
22,51355,B,SATURDAY,B38,WB,1423,1514,5.528,METROPOLITAN AV / STARR ST,CADMAN PLZ W / TILLARY ST,Local,40.713352,-73.91431,40.696102,-73.991035,1313.0,1402.0,EB,40.696117,-73.91469000000001,1537.0,1631.0,EB,54.0,0
23,47083,B,SUNDAY,B100,WB,1000,1026,4.461,NATIONAL DR / MILL AV,E 16 ST / KINGS HWY,Local,40.606945,-73.91594,40.608936,-73.95740500000001,900.0,923.0,EB,40.60844,-73.91589,1130.0,1153.0,EB,23.0,0
24,51356,Q,SATURDAY,Q88,WB,800,839,9.117,AMBOY LA / SPRINGFIELD BL,92 ST / 59 AV,Local,40.717834,-73.73563,40.73498,-73.86959,700.0,740.0,EB,40.734272,-73.73638000000001,905.0,945.0,EB,40.0,0
25,51357,M,SATURDAY,M20,NB,1805,1911,6.375,STATE ST / WHITEHALL ST,BROADWAY / W 64 ST,Local,40.702420000000004,-74.01305,40.771797,-73.98236999999999,1630.0,1730.0,SB,40.77088,-74.01304,1955.0,2048.0,SB,53.0,0
26,51358,Q,SATURDAY,Q64,EB,1953,2010,2.787,108 ST / QUEENS BL,JEWEL AV / 164 ST,Local,40.721783,-73.84395,40.73182,-73.80530999999999,1910.0,1925.0,WB,40.731840000000005,-73.843925,2040.0,2055.0,WB,15.0,0
27,51359,Q,SATURDAY,Q8,EB,1659,1806,8.512,GATEWAY CTR TERMINAL / GATEWAY DR,165 ST TERM / MTA BUS STAND,Local,40.652794,-73.87621999999999,40.707226,-73.79544,1536.0,1640.0,WB,40.70715,-73.87623,1826.0,1925.0,WB,59.0,0
28,51360,M,SATURDAY,M21,WB,1200,1224,2.4659999999999997,GRAND ST / FDR DRIVE,WASHINGTON ST / W HOUSTON ST,Local,40.713359999999994,-73.97779,40.72725,-74.00971,1100.0,1120.0,EB,40.725906,-73.977745,1300.0,1320.0,EB,20.0,0
29,51361,B,SATURDAY,B64,SB,1041,1125,6.654,SHORE RD / MACKAY PL,STILLWELL AV / MERMAID AV,Local,40.637203,-74.036026,40.576840000000004,-73.98099,934.0,1019.0,NB,40.577057,-74.03609,1146.0,1233.0,NB,47.0,0
30,51362,S,SATURDAY,S46,EB,1055,1139,8.863999999999999,WEST SHORE PLAZA / CHELSEA ST,ST GEORGE FERRY / ST GEORGE FERRY,Local,40.60204,-74.1907,40.643578000000005,-74.07313,930.0,1012.0,WB,40.643402,-74.19133000000001,1200.0,1242.0,WB,42.0,0
31,51363,B,SATURDAY,B13,SB,721,818,8.632,WYCKOFF AV / DE KALB AV,GATEWAY CTR TERM / GATEWAY DR,Local,40.704322999999995,-73.919365,40.65282,-73.876755,552.0,646.0,NB,40.652687,-73.919464,859.0,1005.0,NB,66.0,0
32,51364,M,SATURDAY,M11,NB,1631,1740,7.532,BETHUNE ST / GREENWICH ST,RIVERBANK / STATE PARK,Local,40.736988000000004,-74.00636,40.826817,-73.95538,1445.0,1602.0,SB,40.82665,-74.00587,1800.0,1914.0,SB,74.0,0
33,51365,B,SATURDAY,B11,WB,1414,1457,6.04,FLATBUSH AV / E 31 ST,58 ST / 1 AV,Local,40.632065000000004,-73.94672,40.645615,-74.02351999999999,1309.0,1352.0,EB,40.64542,-73.94773,1514.0,1557.0,EB,43.0,0
34,47094,Q,SUNDAY,Q6,NB,1530,1611,5.474,EASTERN RD / BLDG 77 HALMAR,165 ST TERM / MTA BUS STAND,Local,40.652640000000005,-73.765366,40.707226,-73.79544,1429.0,1510.0,SB,40.707091999999996,-73.7655,1630.0,1711.0,SB,41.0,0
35,51366,Q,SATURDAY,Q40,NB,2200,2221,3.056,135 AV / 142 ST,88 AV / SUTPHIN BL,Local,40.668175,-73.79683,40.704865000000005,-73.80904,2100.0,2122.0,SB,40.70492,-73.79635,2300.0,2319.0,SB,19.0,0
36,51367,S,SATURDAY,S44,EB,1025,1116,10.344000000000001,YUKON AV / KMART DWY,ST GEORGE FERRY / ST GEORGE FERRY,Local,40.575645,-74.16715,40.643715,-74.073135,915.0,1003.0,WB,40.643609999999995,-74.16768,1145.0,1237.0,WB,52.0,0
37,47098,Q,SUNDAY,Q8,EB,1250,1342,8.512,GATEWAY CTR TERMINAL / GATEWAY DR,165 ST TERM / MTA BUS STAND,Local,40.652794,-73.87621999999999,40.707226,-73.79544,1135.0,1224.0,WB,40.70715,-73.87623,1405.0,1458.0,WB,53.0,0
38,51353,Q,SATURDAY,Q17,SB,940,1023,6.961,138 ST / 37 AV,MERRICK BL / JAMAICA AVE,Local,40.761806,-73.82955,40.705914,-73.794014,833.0,919.0,NB,40.705890000000004,-73.82954000000001,1038.0,1126.0,NB,48.0,0
39,51642,B,WKD,B13,SB,1600,1721,8.632,WYCKOFF AV / DE KALB AV,GATEWAY CTR TERM / GATEWAY DR,Local,40.704322999999995,-73.919365,40.65282,-73.876755,1430.0,1540.0,NB,40.652687,-73.919464,1740.0,1845.0,NB,65.0,0
40,51643,Q,WKD,Q23,SB,1800,1900,6.125,DITMARS BL / 102 ST,UNION TPK / CRESCENT APARTMENTS,Local,40.76872,-73.86848,40.707108000000005,-73.85412600000001,1636.0,1745.0,NB,40.70705,-73.86853,1919.0,2024.0,NB,65.0,0
41,51644,M,WKD,M96,EB,2211,2225,1.805,W 96 ST / WEST END AV,E 97 ST / 1 AV,Local,40.794933,-73.97269,40.784206,-73.94478000000001,2128.0,2145.0,WB,40.784527000000004,-73.97309,2248.0,2305.0,WB,17.0,0
42,51645,Q,WKD,Q27,NB,440,524,9.245,SPRINGFIELD BL / 119 AV,138 ST / 37 AV,Local,40.69274,-73.745094,40.76175,-73.82954000000001,339.0,422.0,SB,40.761806,-73.74521999999999,558.0,647.0,SB,49.0,0
