,ORIGIN,DESTINATION,DURATION,ROUTE,SAMPLE_ID,LVTIME,ARRTIME,BEF_SRT_TIME,BEF_SRT_DEST_TIME,RET_SRT_TIME,RET_SRT_DEST_TIME,LONG_O,LAT_O,LONG_D,LAT_D,SWITCH,BFE_DAY,BORO
0,NOSTRAND AV / GRAVESEND NECK RD,SURF AV / W 37 ST,45.0,B36,51628,1749,1831,1640.0,1733.0,1847.0,1932.0,-73.94187,40.59997,-74.00248,40.57343,0,WKD,B
1,FLATBUSH AV / AV U,QUENTIN RD / E 16 ST,21.0,B2,51629,702,725,620.0,636.0,740.0,801.0,-73.92182,40.60952800000001,-73.95713,40.60843300000001,0,WKD,B
2,FT WASHINGTON AV / CABRINI BL,LEXINGTON AV / E 68 ST,38.0,M98,51630,801,904,650.0,728.0,935.0,1013.0,-73.93428,40.859207,-73.96426,40.767742,0,WKD,M
3,108 ST / QUEENS BL,JEWEL AV / 164 ST,17.0,Q64,51631,925,944,849.0,907.0,1000.0,1017.0,-73.84395,40.721783,-73.80530999999998,40.73182,0,WKD,Q
4,PITKIN AV / EUCLID AV,S CARGO RD / CARGO PLZ,42.0,Q7,51632,945,1026,840.0,915.0,1045.0,1127.0,-73.87178,40.675495,-73.79466,40.652985,0,WKD,Q
5,135 RD / 130 PL,UNION TPK / KEW GARDENS RD,34.0,Q37,51633,1235,1310,1130.0,1200.0,1345.0,1419.0,-73.80851,40.66767,-73.831375,40.713963,0,WKD,Q
6,QUENTIN RD / E 16 ST,GERRITSEN AV / GERRITSEN BCH,18.0,B31,51634,935,952,848.0,910.0,1008.0,1026.0,-73.95713,40.60843300000001,-73.91894,40.587135,0,WKD,B
7,ST GEORGE FERRY / S74 & S84,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,80.0,S74,51635,800,921,610.0,730.0,955.0,1115.0,-74.07358599999998,40.64341,-74.231064,40.52948,0,WKD,S
8,LEXINGTON AV / E 125 ST,SUNKEN GARDEN LOOP / Charles Gay CTR,10.0,M35,51636,1950,1959,1912.0,1922.0,2019.0,2029.0,-73.937416,40.80458,-73.93084,40.785095,0,WKD,M
9,E 206 ST / ROCHAMBEAU AV,ROPES AV / BOSTON RD,45.0,BX16,51637,1419,1507,1320.0,1404.0,1533.0,1618.0,-73.8808,40.874893,-73.81952,40.889843,0,WKD,BX
10,MARCUS GARVEY BLVD / BROADWAY,AV U / E 54 ST,45.0,B47,51638,2144,2237,2030.0,2125.0,2320.0,5.0,-73.94144,40.69957700000001,-73.92041,40.611008,0,WKD,B
11,L.I.J.MEDICAL RDWY / 271 ST,QUEENS BL / 78 CR,48.0,Q46,51639,1338,1419,1232.0,1317.0,1440.0,1528.0,-73.70640999999998,40.755062,-73.83123,40.714733,0,WKD,Q
12,SEDGWICK AV / HARLEM RIVER BRIDGE,E 170 ST / GRAND CONCOURSE,19.0,BX18,51640,2035,2046,1953.0,2017.0,2136.0,2155.0,-73.92066,40.85202,-73.91358000000002,40.838512,0,WKD,BX
13,JFK TERMINAL 5 / AIR TRAIN STATION,MARCUS GARVEY BL / BROADWAY,82.0,B15,51641,947,1114,742.0,912.0,1134.0,1256.0,-73.779884,40.647465,-73.94147,40.69975,0,WKD,B
14,27 AV / 2 ST,VERNON BL / BORDEN AV,24.0,Q103,47590,1450,1512,1350.0,1411.0,1550.0,1614.0,-73.93493000000002,40.775143,-73.95464,40.741528,0,WKD,Q
15,27 AV / 2 ST,VERNON BL / BORDEN AV,22.0,Q103,47593,1830,1850,1730.0,1754.0,1930.0,1952.0,-73.93493000000002,40.775143,-73.95464,40.741528,0,WKD,Q
16,48 ST / QUEENS BL,11 ST / 34 AV,21.0,Q104,47597,1030,1055,930.0,949.0,1130.0,1151.0,-73.91691,40.74332,-73.93765,40.764744,0,WKD,Q
17,WYCKOFF AV / DE KALB AV,GATEWAY CTR TERM / GATEWAY DR,65.0,B13,51642,1600,1721,1430.0,1540.0,1740.0,1845.0,-73.919365,40.704323,-73.876755,40.65282,0,WKD,B
18,DITMARS BL / 102 ST,UNION TPK / CRESCENT APARTMENTS,65.0,Q23,51643,1800,1900,1636.0,1745.0,1919.0,2024.0,-73.86848,40.76872,-73.85412600000002,40.70710800000001,0,WKD,Q
19,W 96 ST / WEST END AV,E 97 ST / 1 AV,17.0,M96,51644,2211,2225,2128.0,2145.0,2248.0,2305.0,-73.97269,40.794933,-73.94478000000002,40.784206,0,WKD,M
