RIVERBANK / STATE PARK,SOUTHERN BL / BOTANICAL GARDENS,3840
RIVERBANK / STATE PARK,CO-OP CITY BL / Bartow Av,5541
RIVERBANK / STATE PARK,BROADWAY / W 179 ST,1234
RIVERBANK / STATE PARK,RIVERDALE AV / W 263 ST,3781
RIVERBANK / STATE PARK,KATONAH AV / E 242 ST,4620
RIVERBANK / STATE PARK,3 AV / E FORDHAM RD,3109
RIVERBANK / STATE PARK,E 135 ST / ST ANN S AV,2400
RIVERBANK / STATE PARK,VALENTINE AV / FORDHAM RD,2930
RIVERBANK / STATE PARK,SOUNDVIEW AV / CORNELL AV,4020
RIVERBANK / STATE PARK,W 125 ST / 12 AV,567
RIVERBANK / STATE PARK,W 179 ST / BROADWAY,1243
RIVERBANK / STATE PARK,PENNYFIELD AV / FT SCHUYLER ENT,5880
RIVERBANK / STATE PARK,ST NICHOLAS AV / W 167 ST,908
RIVERBANK / STATE PARK,WALNUT AV / E 133 ST,2520
RIVERBANK / STATE PARK,W FARMS RD / WESTCHESTER AV,2695
RIVERBANK / STATE PARK,Parking Ramp / Access Rd,4633
RIVERBANK / STATE PARK,BROADWAY / W 262 ST,3781
RIVERBANK / STATE PARK,TREMONT AV / LANE AV,4034
RIVERBANK / STATE PARK,E 136 ST / LINCOLN AV,1740
RIVERBANK / STATE PARK,WEST FARMS RD / HOE AV,2682
RIVERBANK / STATE PARK,ERSKINE PL / EARHART LA,5520
RIVERBANK / STATE PARK,W 135 ST / ST NICHOLAS AV,704
RIVERBANK / STATE PARK,179 ST / BROADWAY,1227
RIVERBANK / STATE PARK,SOUTHERN BL / WESTCHESTER AV,2613
RIVERBANK / STATE PARK,BAINBRIDGE AV / E 206 ST,3599
RIVERBANK / STATE PARK,LANE AV / BENSON AV,3960
RIVERBANK / STATE PARK,OLMSTEAD AV / SEWARD AV,4080
RIVERBANK / STATE PARK,E 149 ST / BERGEN AV,1525
RIVERBANK / STATE PARK,LIC,3850
CITY ISLAND AV / ROCHELLE ST,SOUTHERN BL / BOTANICAL GARDENS,2700
CITY ISLAND AV / ROCHELLE ST,CO-OP CITY BL / Bartow Av,1380
CITY ISLAND AV / ROCHELLE ST,BROADWAY / W 179 ST,3780
CITY ISLAND AV / ROCHELLE ST,RIVERDALE AV / W 263 ST,4920
CITY ISLAND AV / ROCHELLE ST,KATONAH AV / E 242 ST,4380
CITY ISLAND AV / ROCHELLE ST,3 AV / E FORDHAM RD,2294
CITY ISLAND AV / ROCHELLE ST,E 135 ST / ST ANN S AV,4560
