NOSTRAND AV / GRAVESEND NECK RD,SURF AV / W 37 ST,2280
NOSTRAND AV / GRAVESEND NECK RD,QUENTIN RD / E 16 ST,1058
NOSTRAND AV / GRAVESEND NECK RD,GERRITSEN AV / GERRITSEN BCH,1296
NOSTRAND AV / GRAVESEND NECK RD,AV U / E 54 ST,738
NOSTRAND AV / GRAVESEND NECK RD,MARCUS GARVEY BL / BROADWAY,3471
NOSTRAND AV / GRAVESEND NECK RD,GATEWAY CTR TERM / GATEWAY DR,3744
NOSTRAND AV / GRAVESEND NECK RD,POSTAL FACILITY RD / IN FRONT OF FACILITY,3984
NOSTRAND AV / GRAVESEND NECK RD,VAN SINDEREN AVFULTON / VAN SINDEREN AVFULTON,3563
NOSTRAND AV / GRAVESEND NECK RD,LIVONIA AV / ASHFORD ST,3204
NOSTRAND AV / GRAVESEND NECK RD,E 16 ST / KINGS HWY,1016
NOSTRAND AV / GRAVESEND NECK RD,ORIENTAL BL / MACKENZIE ST,1707
NOSTRAND AV / GRAVESEND NECK RD,SMITH ST / LIVINGSTON ST,3973
NOSTRAND AV / GRAVESEND NECK RD,PUTNAM AV / FAIRVIEW AV,4778
NOSTRAND AV / GRAVESEND NECK RD,WASHINGTON PL / LANE 6,3168
NOSTRAND AV / GRAVESEND NECK RD,NATIONAL DR / MILL AV,866
NOSTRAND AV / GRAVESEND NECK RD,CROPSEY AV / VA HOSPITAL,3118
NOSTRAND AV / GRAVESEND NECK RD,87 ST / 4 AV,3168
NOSTRAND AV / GRAVESEND NECK RD,PALMETTO ST / ST NICHOLAS AV,4607
NOSTRAND AV / GRAVESEND NECK RD,NOSTRAND AVE / AVENUE H,890
NOSTRAND AV / GRAVESEND NECK RD,39 ST / 1 AV,3864
NOSTRAND AV / GRAVESEND NECK RD,LINCOLN RD / FLATBUSH AV,2304
NOSTRAND AV / GRAVESEND NECK RD,RALPH AV / ST JOHNS PL,3070
NOSTRAND AV / GRAVESEND NECK RD,BEARD ST / OTSEGO ST,4558
NOSTRAND AV / GRAVESEND NECK RD,SARATOGA AV / HALSEY ST,3384
NOSTRAND AV / GRAVESEND NECK RD,WASHINGTON PLZ / WASHINGTON PLZ,3165
NOSTRAND AV / GRAVESEND NECK RD,ERSKINE ST / SEAVIEW AV,3384
NOSTRAND AV / GRAVESEND NECK RD,STILLWELL / TERMINAL,1970
NOSTRAND AV / GRAVESEND NECK RD,CADMAN PZ W / TILLARY ST,4104
NOSTRAND AV / GRAVESEND NECK RD,BOX ST / MANHATTAN AV,5124
NOSTRAND AV / GRAVESEND NECK RD,SENECA AV / CORNELIA ST,4524
NOSTRAND AV / GRAVESEND NECK RD,SANDS ST / JAY ST,4774
NOSTRAND AV / GRAVESEND NECK RD,WASHINGTON PLZ / LANE 1,3181
NOSTRAND AV / GRAVESEND NECK RD,28 ST / QUEENS PLZ S,5604
NOSTRAND AV / GRAVESEND NECK RD,ROCKAWAY PY / SCHENCK ST,3264
NOSTRAND AV / GRAVESEND NECK RD,Flatbush Av / Av U,775
NOSTRAND AV / GRAVESEND NECK RD,CADMAN PZ W / JOHNSON ST,4352
NOSTRAND AV / GRAVESEND NECK RD,CADMAN PLZ W / TILLARY ST,4284
NOSTRAND AV / GRAVESEND NECK RD,WILLIAMS AV / FLATLANDS AV,2855
NOSTRAND AV / GRAVESEND NECK RD,STILLWELL AV / MERMAID AV,1969
