RIVERBANK / STATE PARK,SOUTHERN BL / BOTANICAL GARDENS,4320
RIVERBANK / STATE PARK,CO-OP CITY BL / Bartow Av,5886
RIVERBANK / STATE PARK,BROADWAY / W 179 ST,1453
RIVERBANK / STATE PARK,RIVERDALE AV / W 263 ST,4255
RIVERBANK / STATE PARK,KATONAH AV / E 242 ST,6120
RIVERBANK / STATE PARK,3 AV / E FORDHAM RD,3529
RIVERBANK / STATE PARK,E 135 ST / ST ANN S AV,2760
RIVERBANK / STATE PARK,VALENTINE AV / FORDHAM RD,3679
RIVERBANK / STATE PARK,SOUNDVIEW AV / CORNELL AV,4500
RIVERBANK / STATE PARK,W 125 ST / 12 AV,567
RIVERBANK / STATE PARK,W 179 ST / BROADWAY,1462
RIVERBANK / STATE PARK,PENNYFIELD AV / FT SCHUYLER ENT,6420
RIVERBANK / STATE PARK,ST NICHOLAS AV / W 167 ST,1027
RIVERBANK / STATE PARK,WALNUT AV / E 133 ST,2520
RIVERBANK / STATE PARK,W FARMS RD / WESTCHESTER AV,3055
RIVERBANK / STATE PARK,Parking Ramp / Access Rd,5400
RIVERBANK / STATE PARK,BROADWAY / W 262 ST,4735
RIVERBANK / STATE PARK,TREMONT AV / LANE AV,4634
RIVERBANK / STATE PARK,E 136 ST / LINCOLN AV,1980
RIVERBANK / STATE PARK,WEST FARMS RD / HOE AV,3042
RIVERBANK / STATE PARK,ERSKINE PL / EARHART LA,6300
RIVERBANK / STATE PARK,W 135 ST / ST NICHOLAS AV,704
RIVERBANK / STATE PARK,179 ST / BROADWAY,1446
RIVERBANK / STATE PARK,SOUTHERN BL / WESTCHESTER AV,2973
RIVERBANK / STATE PARK,BAINBRIDGE AV / E 206 ST,4081
RIVERBANK / STATE PARK,LANE AV / BENSON AV,4560
RIVERBANK / STATE PARK,OLMSTEAD AV / SEWARD AV,4320
RIVERBANK / STATE PARK,E 149 ST / BERGEN AV,1825
RIVERBANK / STATE PARK,LIC,4823
CITY ISLAND AV / ROCHELLE ST,SOUTHERN BL / BOTANICAL GARDENS,2940
CITY ISLAND AV / ROCHELLE ST,CO-OP CITY BL / Bartow Av,1500
CITY ISLAND AV / ROCHELLE ST,BROADWAY / W 179 ST,4440
CITY ISLAND AV / ROCHELLE ST,RIVERDALE AV / W 263 ST,5340
CITY ISLAND AV / ROCHELLE ST,KATONAH AV / E 242 ST,4380
CITY ISLAND AV / ROCHELLE ST,3 AV / E FORDHAM RD,2834
CITY ISLAND AV / ROCHELLE ST,E 135 ST / ST ANN S AV,4680
CITY ISLAND AV / ROCHELLE ST,VALENTINE AV / FORDHAM RD,2967
CITY ISLAND AV / ROCHELLE ST,SOUNDVIEW AV / CORNELL AV,3603
CITY ISLAND AV / ROCHELLE ST,W 125 ST / 12 AV,5870
CITY ISLAND AV / ROCHELLE ST,W 179 ST / BROADWAY,4513
CITY ISLAND AV / ROCHELLE ST,PENNYFIELD AV / FT SCHUYLER ENT,3300
CITY ISLAND AV / ROCHELLE ST,ST NICHOLAS AV / W 167 ST,5100
