WASHINGTON PL / LANE 6,GREENPOINT AV / MANHATTAN AV,1535
WASHINGTON PL / LANE 6,CADMAN PLZ W / TILLARY ST,1793
WASHINGTON PL / LANE 6,STILLWELL AV / MERMAID AV,5476
WASHINGTON PL / LANE 6,GATEWAY CTR TERM / GATEWAY DR,4724
WASHINGTON PL / LANE 6,58 ST / 1 AV,5116
WASHINGTON PL / LANE 6,AV U / E 54 ST,4740
WASHINGTON PL / LANE 6,STILLWELL / TERMINAL,5477
WASHINGTON PL / LANE 6,CADMAN PZ W / TILLARY ST,1802
WASHINGTON PL / LANE 6,EAST NEW YORK AV / ALABAMA AV,2918
WASHINGTON PL / LANE 6,NOSTRAND AVE / AVENUE H,2877
WASHINGTON PL / LANE 6,MARCUS GARVEY BL / BROADWAY,865
WASHINGTON PL / LANE 6,SMITH ST / LIVINGSTON ST,1800
WASHINGTON PL / LANE 6,FLATBUSH AV / E 31 ST,2914
WASHINGTON PL / LANE 6,RALPH AV / ST JOHNS PL,2618
WASHINGTON PL / LANE 6,QUENTIN RD / E 16 ST,4155
WASHINGTON PL / LANE 6,BOERUM PL / SCHERMERHORN ST,1876
WASHINGTON PL / LANE 6,25 AV / HARWAY AV,5307
WASHINGTON PL / LANE 6,4 AV / 95 ST,4314
WASHINGTON PL / LANE 6,CROPSEY AV / VA HOSPITAL,5506
WASHINGTON PL / LANE 6,LINCOLN RD / FLATBUSH AV,2487
WASHINGTON PL / LANE 6,SHORE RD / 3 AV,4210
WASHINGTON PL / LANE 6,AV U / E 71 ST,4527
WASHINGTON PL / LANE 6,KINGS PLAZA / KINGS PLAZA,4658
WASHINGTON PL / LANE 6,GERRITSEN AV / GERRITSEN BCH,4407
WASHINGTON PL / LANE 6,HEGEMAN AV / WATKINS ST,4052
WASHINGTON PL / LANE 6,FLATBUSH AV / AV U,4074
WASHINGTON PL / LANE 6,ROCKAWAY PKY / GLENWOOD RD,4004
WASHINGTON PL / LANE 6,JFK AIRPORT / TERMINAL 5 AirTrain ST,6518
WASHINGTON PL / LANE 6,LIVONIA AV / ASHFORD ST,4824
WASHINGTON PL / LANE 6,FULTON ST / ALABAMA AV,2951
WASHINGTON PL / LANE 6,39 ST / 1 AV,4407
WASHINGTON PL / LANE 6,WILLIAMS AV / FLATLANDS AV,4423
WASHINGTON PL / LANE 6,PROSPECT PK SW / BARTEL PRITCHARD SQ,3425
WASHINGTON PL / LANE 6,87 ST / 4 AV,4616
WASHINGTON PL / LANE 6,Flatbush Av / Av U,4047
WASHINGTON PL / LANE 6,EASTERN PY / UTICA AV,2556
WASHINGTON PL / LANE 6,NATIONAL DR / MILL AV,4748
WASHINGTON PL / LANE 6,LIVINGSTON ST / COURT ST,1872
