STATE ST / WHITEHALL ST,BROADWAY / W 64 ST,3567
STATE ST / WHITEHALL ST,WASHINGTON ST / W HOUSTON ST,1202
STATE ST / WHITEHALL ST,RIVERBANK / STATE PARK,5988
STATE ST / WHITEHALL ST,AMSTERDAM AV / W 129 ST,4884
STATE ST / WHITEHALL ST,W 106 ST / BROADWAY,5088
STATE ST / WHITEHALL ST,W 66 ST / WEST END AV,3588
STATE ST / WHITEHALL ST,W 96 ST / WEST END AV,4428
STATE ST / WHITEHALL ST,BROADWAY / WEST 57 ST,3489
STATE ST / WHITEHALL ST,AV OF THE AMERICAS / W 14 ST,1652
STATE ST / WHITEHALL ST,E 127 ST / 2 AV,3553
STATE ST / WHITEHALL ST,E 97 ST / 1 AV,3044
STATE ST / WHITEHALL ST,12 AV / W 42 ST,3348
STATE ST / WHITEHALL ST,EAST 68 ST / YORK AV,2688
STATE ST / WHITEHALL ST,SOUTH ST / WHITEHALL ST,88
STATE ST / WHITEHALL ST,E 105 ST / FDR DR,3348
STATE ST / WHITEHALL ST,E 126 ST / 2 AV,3589
STATE ST / WHITEHALL ST,GRAND ST / FDR DR,1608
STATE ST / WHITEHALL ST,CENTRE ST / BROOME ST,1589
STATE ST / WHITEHALL ST,WEST ST / CHRISTOPHER ST,2460
STATE ST / WHITEHALL ST,LEXINGTON AV / E 125 ST,3865
STATE ST / WHITEHALL ST,1 AV / E 26 ST,1720
STATE ST / WHITEHALL ST,PLEASANT AV / E 120 ST,3468
STATE ST / WHITEHALL ST,W 44 St / 6 AV,2400
STATE ST / WHITEHALL ST,W 31 ST / 6 AV,2060
STATE ST / WHITEHALL ST,W 54 ST / 11 AV,3504
STATE ST / WHITEHALL ST,AV D / LOOP,2580
STATE ST / WHITEHALL ST,W 168 ST / AUDUBON AV,5699
STATE ST / WHITEHALL ST,FT GEORGE AV / 66 FT GEORGE AV,6588
STATE ST / WHITEHALL ST,LIC,3515
GRAND ST / FDR DRIVE,BROADWAY / W 64 ST,3944
GRAND ST / FDR DRIVE,WASHINGTON ST / W HOUSTON ST,1380
GRAND ST / FDR DRIVE,RIVERBANK / STATE PARK,5400
GRAND ST / FDR DRIVE,AMSTERDAM AV / W 129 ST,5016
GRAND ST / FDR DRIVE,W 106 ST / BROADWAY,5024
GRAND ST / FDR DRIVE,W 66 ST / WEST END AV,3480
GRAND ST / FDR DRIVE,W 96 ST / WEST END AV,4140
GRAND ST / FDR DRIVE,BROADWAY / WEST 57 ST,3261
GRAND ST / FDR DRIVE,AV OF THE AMERICAS / W 14 ST,1882
GRAND ST / FDR DRIVE,E 127 ST / 2 AV,3325
GRAND ST / FDR DRIVE,E 97 ST / 1 AV,2816
GRAND ST / FDR DRIVE,12 AV / W 42 ST,3480
GRAND ST / FDR DRIVE,EAST 68 ST / YORK AV,2665
GRAND ST / FDR DRIVE,SOUTH ST / WHITEHALL ST,1805
GRAND ST / FDR DRIVE,E 105 ST / FDR DR,4560
GRAND ST / FDR DRIVE,E 126 ST / 2 AV,3361
GRAND ST / FDR DRIVE,GRAND ST / FDR DR,33
GRAND ST / FDR DRIVE,STATE ST / WHITEHALL ST,1763
GRAND ST / FDR DRIVE,CENTRE ST / BROOME ST,1680
GRAND ST / FDR DRIVE,WEST ST / CHRISTOPHER ST,2537
GRAND ST / FDR DRIVE,LEXINGTON AV / E 125 ST,3420
GRAND ST / FDR DRIVE,1 AV / E 26 ST,1395
GRAND ST / FDR DRIVE,PLEASANT AV / E 120 ST,3600
GRAND ST / FDR DRIVE,W 44 St / 6 AV,2786
GRAND ST / FDR DRIVE,W 31 ST / 6 AV,2660
GRAND ST / FDR DRIVE,W 54 ST / 11 AV,3600
GRAND ST / FDR DRIVE,AV D / LOOP,1212
GRAND ST / FDR DRIVE,W 168 ST / AUDUBON AV,6120
GRAND ST / FDR DRIVE,FT GEORGE AV / 66 FT GEORGE AV,6564
GRAND ST / FDR DRIVE,LIC,3047
BETHUNE ST / GREENWICH ST,BROADWAY / W 64 ST,1877
BETHUNE ST / GREENWICH ST,WASHINGTON ST / W HOUSTON ST,1247
BETHUNE ST / GREENWICH ST,RIVERBANK / STATE PARK,4260
BETHUNE ST / GREENWICH ST,AMSTERDAM AV / W 129 ST,3777
BETHUNE ST / GREENWICH ST,W 106 ST / BROADWAY,3270
BETHUNE ST / GREENWICH ST,W 66 ST / WEST END AV,1860
BETHUNE ST / GREENWICH ST,W 96 ST / WEST END AV,3240
BETHUNE ST / GREENWICH ST,BROADWAY / WEST 57 ST,2211
BETHUNE ST / GREENWICH ST,AV OF THE AMERICAS / W 14 ST,636
BETHUNE ST / GREENWICH ST,E 127 ST / 2 AV,3544
BETHUNE ST / GREENWICH ST,E 97 ST / 1 AV,3035
BETHUNE ST / GREENWICH ST,12 AV / W 42 ST,1320
BETHUNE ST / GREENWICH ST,EAST 68 ST / YORK AV,2679
BETHUNE ST / GREENWICH ST,SOUTH ST / WHITEHALL ST,2156
BETHUNE ST / GREENWICH ST,E 105 ST / FDR DR,4140
BETHUNE ST / GREENWICH ST,E 126 ST / 2 AV,3580
BETHUNE ST / GREENWICH ST,GRAND ST / FDR DR,2499
BETHUNE ST / GREENWICH ST,STATE ST / WHITEHALL ST,2073
BETHUNE ST / GREENWICH ST,CENTRE ST / BROOME ST,2112
BETHUNE ST / GREENWICH ST,WEST ST / CHRISTOPHER ST,431
BETHUNE ST / GREENWICH ST,LEXINGTON AV / E 125 ST,3856
BETHUNE ST / GREENWICH ST,1 AV / E 26 ST,1711
BETHUNE ST / GREENWICH ST,PLEASANT AV / E 120 ST,3459
BETHUNE ST / GREENWICH ST,W 44 St / 6 AV,1831
BETHUNE ST / GREENWICH ST,W 31 ST / 6 AV,1355
BETHUNE ST / GREENWICH ST,W 54 ST / 11 AV,1524
BETHUNE ST / GREENWICH ST,AV D / LOOP,1533
BETHUNE ST / GREENWICH ST,W 168 ST / AUDUBON AV,5259
BETHUNE ST / GREENWICH ST,FT GEORGE AV / 66 FT GEORGE AV,6144
BETHUNE ST / GREENWICH ST,LIC,3506
W 41 ST / 8 AV,BROADWAY / W 64 ST,687
W 41 ST / 8 AV,WASHINGTON ST / W HOUSTON ST,2237
W 41 ST / 8 AV,RIVERBANK / STATE PARK,3000
W 41 ST / 8 AV,AMSTERDAM AV / W 129 ST,3240
W 41 ST / 8 AV,W 106 ST / BROADWAY,2370
W 41 ST / 8 AV,W 66 ST / WEST END AV,1516
W 41 ST / 8 AV,W 96 ST / WEST END AV,2160
W 41 ST / 8 AV,BROADWAY / WEST 57 ST,496
W 41 ST / 8 AV,AV OF THE AMERICAS / W 14 ST,991
W 41 ST / 8 AV,E 127 ST / 2 AV,2603
W 41 ST / 8 AV,E 97 ST / 1 AV,2094
W 41 ST / 8 AV,12 AV / W 42 ST,391
W 41 ST / 8 AV,EAST 68 ST / YORK AV,1680
W 41 ST / 8 AV,SOUTH ST / WHITEHALL ST,3146
W 41 ST / 8 AV,E 105 ST / FDR DR,2398
W 41 ST / 8 AV,E 126 ST / 2 AV,2639
W 41 ST / 8 AV,GRAND ST / FDR DR,2979
W 41 ST / 8 AV,STATE ST / WHITEHALL ST,3063
W 41 ST / 8 AV,CENTRE ST / BROOME ST,2191
W 41 ST / 8 AV,WEST ST / CHRISTOPHER ST,1983
W 41 ST / 8 AV,LEXINGTON AV / E 125 ST,3065
W 41 ST / 8 AV,1 AV / E 26 ST,1520
W 41 ST / 8 AV,PLEASANT AV / E 120 ST,2758
W 41 ST / 8 AV,W 44 St / 6 AV,784
W 41 ST / 8 AV,W 31 ST / 6 AV,760
W 41 ST / 8 AV,W 54 ST / 11 AV,1075
W 41 ST / 8 AV,AV D / LOOP,3003
W 41 ST / 8 AV,W 168 ST / AUDUBON AV,3967
W 41 ST / 8 AV,FT GEORGE AV / 66 FT GEORGE AV,4680
W 41 ST / 8 AV,LIC,2267
PLEASANT AV / E 120 ST,BROADWAY / W 64 ST,3120
PLEASANT AV / E 120 ST,WASHINGTON ST / W HOUSTON ST,4560
PLEASANT AV / E 120 ST,RIVERBANK / STATE PARK,2046
