SUNKEN GARDEN LOOP / CHARLES H GAY CTR,LEXINGTON AV / E 125 ST,780
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,4 AV / E 9 ST,3805
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,12 AV / W 42 ST,4680
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,AMSTERDAM AV / W 129 ST,1956
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,3 AV / ASTOR PL,4560
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 168 ST / AUDUBON AV,3294
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,AV OF THE AMERICAS / W 14 ST,4121
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,VESEY ST / NORTH END AV,6360
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,E 41 ST / 1 AV,3240
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,HUDSON ST / BETHUNE ST,4613
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 66 ST / FREEDOM PL,3973
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,E 60 ST / YORK AV,3291
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 66 ST / WEST END AV,3348
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,PARK ROW / BEEKMAN ST,5640
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,STATE ST / WHITEHALL ST,5226
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,GRAND ST / FDR DR,4980
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 31 ST / 6 AV,4055
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,BROADWAY / W 220 ST,5100
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 54 ST / 11 AV,4380
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,MARGARET CORBIN DR / CLOISTERS,4615
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,E 97 ST / 1 AV,1800
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 106 ST / BROADWAY,2144
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,PLEASANT AV / E 120 ST,1260
SUNKEN GARDEN LOOP / CHARLES H GAY CTR,W 178 ST / BROADWAY,3638
