AMBOY LA / SPRINGFIELD BL,92 ST / 59 AV,2760
AMBOY LA / SPRINGFIELD BL,JEWEL AV / 164 ST,1621
AMBOY LA / SPRINGFIELD BL,165 ST TERM / MTA BUS STAND,1625
AMBOY LA / SPRINGFIELD BL,88 AV / SUTPHIN BL,2288
AMBOY LA / SPRINGFIELD BL,MERRICK BL / JAMAICA AVE,2109
AMBOY LA / SPRINGFIELD BL,ARCHER AV / 153 ST,2153
AMBOY LA / SPRINGFIELD BL,HILLSIDE AV / PARSONS BL,2610
AMBOY LA / SPRINGFIELD BL,ARCHER AV / SUTPHIN PL,2484
AMBOY LA / SPRINGFIELD BL,165 ST / 165 ST TERM,1584
AMBOY LA / SPRINGFIELD BL,JFK AIRPORT / TERMINAL 5 AirTrain ST,3293
AMBOY LA / SPRINGFIELD BL,WASHINGTON PLZ / BAY 3,5784
AMBOY LA / SPRINGFIELD BL,HILLSIDE AV / 267 ST,1200
AMBOY LA / SPRINGFIELD BL,27 AV / 2 ST,8101
AMBOY LA / SPRINGFIELD BL,135 RD / 130 PL,4204
AMBOY LA / SPRINGFIELD BL,81 ST / NORTHERN BL,9900
AMBOY LA / SPRINGFIELD BL,DITMARS BL / 102 ST,5925
AMBOY LA / SPRINGFIELD BL,39 AV / MAIN ST,3057
AMBOY LA / SPRINGFIELD BL,PITKIN AV / EUCLID AV,5329
AMBOY LA / SPRINGFIELD BL,WEST CIRCLE DR / PARKING STRUCTURE (ARR,3293
AMBOY LA / SPRINGFIELD BL,88 AV / PARSONS BL,2620
AMBOY LA / SPRINGFIELD BL,31 AV / 102 ST,4225
AMBOY LA / SPRINGFIELD BL,82 ST / ROOSEVELT AV,9603
AMBOY LA / SPRINGFIELD BL,TEARDROP / LAYOVER,2278
AMBOY LA / SPRINGFIELD BL,95 ST / DITMARS BL,4621
AMBOY LA / SPRINGFIELD BL,28 ST / QUEENS PLZ S,7560
AMBOY LA / SPRINGFIELD BL,GATEWAY CTR TERMINAL / GATEWAY DR,6569
AMBOY LA / SPRINGFIELD BL,ROOSEVELT AV / UNION ST,2803
AMBOY LA / SPRINGFIELD BL,VAN SINDEREN AV / FULTON ST,5304
AMBOY LA / SPRINGFIELD BL,HEMPSTEAD AV / 225 ST,1013
AMBOY LA / SPRINGFIELD BL,227 ST / 113 DR,893
AMBOY LA / SPRINGFIELD BL,W 32 ST / 7 AV,9596
AMBOY LA / SPRINGFIELD BL,74 ST - ROOSEVELT AV T / Q33 STOP,9300
AMBOY LA / SPRINGFIELD BL,165 ST / 165 ST TERMINAL,1607
AMBOY LA / SPRINGFIELD BL,15 AV / COLLEGE PT BL,3341
AMBOY LA / SPRINGFIELD BL,39 AV / 138 ST,2928
AMBOY LA / SPRINGFIELD BL,BELMONT PARK / HEMPSTEAD AV,1133
AMBOY LA / SPRINGFIELD BL,KEW GARDENS RD / 80 RD,2040
AMBOY LA / SPRINGFIELD BL,138 ST / 37 AV,2921
AMBOY LA / SPRINGFIELD BL,QUEENS BL / 78 CR,2040
AMBOY LA / SPRINGFIELD BL,MERRICK BL / ARCHER AV,2024
AMBOY LA / SPRINGFIELD BL,LIJ MEDICAL CTR / 271 ST,1440
AMBOY LA / SPRINGFIELD BL,60 LA / ST FELIX AV,6080
AMBOY LA / SPRINGFIELD BL,TOTTEN AV / CROSS ISLAND PKY,3281
AMBOY LA / SPRINGFIELD BL,150 AV / 149 AV,4204
AMBOY LA / SPRINGFIELD BL,39 AV / UNION ST,2922
AMBOY LA / SPRINGFIELD BL,SUTPHIN BL / 94 AV,2484
AMBOY LA / SPRINGFIELD BL,ASTORIA BL / 82 ST,5023
AMBOY LA / SPRINGFIELD BL,48 ST / QUEENS BL,7626
AMBOY LA / SPRINGFIELD BL,LIC,8136
GATEWAY CTR TERMINAL / GATEWAY DR,92 ST / 59 AV,5599
GATEWAY CTR TERMINAL / GATEWAY DR,JEWEL AV / 164 ST,6109
GATEWAY CTR TERMINAL / GATEWAY DR,165 ST TERM / MTA BUS STAND,4674
GATEWAY CTR TERMINAL / GATEWAY DR,88 AV / SUTPHIN BL,4162
GATEWAY CTR TERMINAL / GATEWAY DR,MERRICK BL / JAMAICA AVE,4430
GATEWAY CTR TERMINAL / GATEWAY DR,ARCHER AV / 153 ST,4103
GATEWAY CTR TERMINAL / GATEWAY DR,HILLSIDE AV / PARSONS BL,4334
GATEWAY CTR TERMINAL / GATEWAY DR,ARCHER AV / SUTPHIN PL,3920
GATEWAY CTR TERMINAL / GATEWAY DR,165 ST / 165 ST TERM,4594
GATEWAY CTR TERMINAL / GATEWAY DR,JFK AIRPORT / TERMINAL 5 AirTrain ST,2495
GATEWAY CTR TERMINAL / GATEWAY DR,WASHINGTON PLZ / BAY 3,4332
GATEWAY CTR TERMINAL / GATEWAY DR,HILLSIDE AV / 267 ST,6376
GATEWAY CTR TERMINAL / GATEWAY DR,27 AV / 2 ST,9174
GATEWAY CTR TERMINAL / GATEWAY DR,135 RD / 130 PL,2165
GATEWAY CTR TERMINAL / GATEWAY DR,81 ST / NORTHERN BL,8461
GATEWAY CTR TERMINAL / GATEWAY DR,DITMARS BL / 102 ST,9440
GATEWAY CTR TERMINAL / GATEWAY DR,39 AV / MAIN ST,5867
