ST GEORGE FERRY / S40 & S90,FRANK W. GAY BL / 10 AV,2040
ST GEORGE FERRY / S40 & S90,4 AV / 86 ST,2479
ST GEORGE FERRY / S40 & S90,MARSH AV / RING RD,2520
ST GEORGE FERRY / S40 & S90,HOLLAND AV / BENJAMIN PL,1500
ST GEORGE FERRY / S40 & S90,MILL RD / TARLTON ST,2427
ST GEORGE FERRY / S40 & S90,VICTORY BL / opp Con Edison,2256
ST GEORGE FERRY / S40 & S90,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4044
ST GEORGE FERRY / S40 & S90,RICHMOND TER / PARK AV #2,867
ST GEORGE FERRY / S40 & S90,ST GEORGE FERRY / ST GEORGE FERRY,54
ST GEORGE FERRY / S40 & S90,WEST SHORE PLAZA / CHELSEA ST,2760
ST GEORGE FERRY / S40 & S90,LIC,7152
RICHMOND TER / PARK AV,FRANK W. GAY BL / 10 AV,1227
RICHMOND TER / PARK AV,4 AV / 86 ST,2580
RICHMOND TER / PARK AV,MARSH AV / RING RD,2388
RICHMOND TER / PARK AV,HOLLAND AV / BENJAMIN PL,687
RICHMOND TER / PARK AV,MILL RD / TARLTON ST,3120
RICHMOND TER / PARK AV,VICTORY BL / opp Con Edison,2220
RICHMOND TER / PARK AV,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4020
RICHMOND TER / PARK AV,RICHMOND TER / PARK AV #2,36
RICHMOND TER / PARK AV,ST GEORGE FERRY / ST GEORGE FERRY,959
RICHMOND TER / PARK AV,WEST SHORE PLAZA / CHELSEA ST,1860
RICHMOND TER / PARK AV,LIC,6252
4 AV / 86 ST,FRANK W. GAY BL / 10 AV,4200
4 AV / 86 ST,MARSH AV / RING RD,3060
4 AV / 86 ST,HOLLAND AV / BENJAMIN PL,3579
4 AV / 86 ST,MILL RD / TARLTON ST,2460
4 AV / 86 ST,VICTORY BL / opp Con Edison,3399
4 AV / 86 ST,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,3660
4 AV / 86 ST,RICHMOND TER / PARK AV #2,2599
4 AV / 86 ST,ST GEORGE FERRY / ST GEORGE FERRY,2199
4 AV / 86 ST,WEST SHORE PLAZA / CHELSEA ST,4059
4 AV / 86 ST,LIC,5736
ST GEORGE FERRY / S48 & S98,FRANK W. GAY BL / 10 AV,2070
ST GEORGE FERRY / S48 & S98,4 AV / 86 ST,2479
ST GEORGE FERRY / S48 & S98,MARSH AV / RING RD,2714
ST GEORGE FERRY / S48 & S98,HOLLAND AV / BENJAMIN PL,2400
ST GEORGE FERRY / S48 & S98,MILL RD / TARLTON ST,2421
ST GEORGE FERRY / S48 & S98,VICTORY BL / opp Con Edison,2256
ST GEORGE FERRY / S48 & S98,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4031
ST GEORGE FERRY / S48 & S98,RICHMOND TER / PARK AV #2,897
ST GEORGE FERRY / S48 & S98,ST GEORGE FERRY / ST GEORGE FERRY,27
ST GEORGE FERRY / S48 & S98,WEST SHORE PLAZA / CHELSEA ST,2774
ST GEORGE FERRY / S48 & S98,LIC,7152
ST GEORGE FERRY / S 76 & S86,FRANK W. GAY BL / 10 AV,2067
ST GEORGE FERRY / S 76 & S86,4 AV / 86 ST,1999
ST GEORGE FERRY / S 76 & S86,MARSH AV / RING RD,2388
ST GEORGE FERRY / S 76 & S86,HOLLAND AV / BENJAMIN PL,1707
ST GEORGE FERRY / S 76 & S86,MILL RD / TARLTON ST,2460
ST GEORGE FERRY / S 76 & S86,VICTORY BL / opp Con Edison,2220
ST GEORGE FERRY / S 76 & S86,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4020
