STATE ST / WHITEHALL ST,BROADWAY / W 64 ST,2580
STATE ST / WHITEHALL ST,WASHINGTON ST / W HOUSTON ST,1022
STATE ST / WHITEHALL ST,RIVERBANK / STATE PARK,5400
STATE ST / WHITEHALL ST,AMSTERDAM AV / W 129 ST,4393
STATE ST / WHITEHALL ST,W 106 ST / BROADWAY,4050
STATE ST / WHITEHALL ST,W 66 ST / WEST END AV,3300
STATE ST / WHITEHALL ST,W 96 ST / WEST END AV,4107
STATE ST / WHITEHALL ST,BROADWAY / WEST 57 ST,2401
STATE ST / WHITEHALL ST,AV OF THE AMERICAS / W 14 ST,1264
STATE ST / WHITEHALL ST,E 127 ST / 2 AV,3133
STATE ST / WHITEHALL ST,E 97 ST / 1 AV,2744
STATE ST / WHITEHALL ST,12 AV / W 42 ST,2037
STATE ST / WHITEHALL ST,EAST 68 ST / YORK AV,2328
STATE ST / WHITEHALL ST,SOUTH ST / WHITEHALL ST,88
STATE ST / WHITEHALL ST,E 105 ST / FDR DR,3288
STATE ST / WHITEHALL ST,E 126 ST / 2 AV,3169
STATE ST / WHITEHALL ST,GRAND ST / FDR DR,1308
STATE ST / WHITEHALL ST,CENTRE ST / BROOME ST,1309
STATE ST / WHITEHALL ST,WEST ST / CHRISTOPHER ST,1080
STATE ST / WHITEHALL ST,LEXINGTON AV / E 125 ST,3468
STATE ST / WHITEHALL ST,1 AV / E 26 ST,1473
STATE ST / WHITEHALL ST,PLEASANT AV / E 120 ST,3108
STATE ST / WHITEHALL ST,W 44 St / 6 AV,1740
STATE ST / WHITEHALL ST,W 31 ST / 6 AV,1520
STATE ST / WHITEHALL ST,W 54 ST / 11 AV,2358
STATE ST / WHITEHALL ST,AV D / LOOP,2125
STATE ST / WHITEHALL ST,W 168 ST / AUDUBON AV,5340
STATE ST / WHITEHALL ST,FT GEORGE AV / 66 FT GEORGE AV,6012
STATE ST / WHITEHALL ST,LIC,3335
GRAND ST / FDR DRIVE,BROADWAY / W 64 ST,2580
GRAND ST / FDR DRIVE,WASHINGTON ST / W HOUSTON ST,1320
GRAND ST / FDR DRIVE,RIVERBANK / STATE PARK,4500
GRAND ST / FDR DRIVE,AMSTERDAM AV / W 129 ST,4222
GRAND ST / FDR DRIVE,W 106 ST / BROADWAY,4104
GRAND ST / FDR DRIVE,W 66 ST / WEST END AV,3300
GRAND ST / FDR DRIVE,W 96 ST / WEST END AV,3480
GRAND ST / FDR DRIVE,BROADWAY / WEST 57 ST,2961
GRAND ST / FDR DRIVE,AV OF THE AMERICAS / W 14 ST,1586
GRAND ST / FDR DRIVE,E 127 ST / 2 AV,3085
GRAND ST / FDR DRIVE,E 97 ST / 1 AV,2696
GRAND ST / FDR DRIVE,12 AV / W 42 ST,3000
GRAND ST / FDR DRIVE,EAST 68 ST / YORK AV,2563
GRAND ST / FDR DRIVE,SOUTH ST / WHITEHALL ST,1985
GRAND ST / FDR DRIVE,E 105 ST / FDR DR,4380
GRAND ST / FDR DRIVE,E 126 ST / 2 AV,3121
GRAND ST / FDR DRIVE,GRAND ST / FDR DR,33
GRAND ST / FDR DRIVE,STATE ST / WHITEHALL ST,1937
GRAND ST / FDR DRIVE,CENTRE ST / BROOME ST,1518
GRAND ST / FDR DRIVE,WEST ST / CHRISTOPHER ST,1997
GRAND ST / FDR DRIVE,LEXINGTON AV / E 125 ST,3384
GRAND ST / FDR DRIVE,1 AV / E 26 ST,1425
GRAND ST / FDR DRIVE,PLEASANT AV / E 120 ST,3600
GRAND ST / FDR DRIVE,W 44 St / 6 AV,2025
GRAND ST / FDR DRIVE,W 31 ST / 6 AV,2160
GRAND ST / FDR DRIVE,W 54 ST / 11 AV,3240
GRAND ST / FDR DRIVE,AV D / LOOP,732
GRAND ST / FDR DRIVE,W 168 ST / AUDUBON AV,5340
GRAND ST / FDR DRIVE,FT GEORGE AV / 66 FT GEORGE AV,5904
GRAND ST / FDR DRIVE,LIC,3107
BETHUNE ST / GREENWICH ST,BROADWAY / W 64 ST,1477
BETHUNE ST / GREENWICH ST,WASHINGTON ST / W HOUSTON ST,1014
BETHUNE ST / GREENWICH ST,RIVERBANK / STATE PARK,3600
BETHUNE ST / GREENWICH ST,AMSTERDAM AV / W 129 ST,3177
BETHUNE ST / GREENWICH ST,W 106 ST / BROADWAY,2880
BETHUNE ST / GREENWICH ST,W 66 ST / WEST END AV,1658
BETHUNE ST / GREENWICH ST,W 96 ST / WEST END AV,2580
BETHUNE ST / GREENWICH ST,BROADWAY / WEST 57 ST,1425
BETHUNE ST / GREENWICH ST,AV OF THE AMERICAS / W 14 ST,367
BETHUNE ST / GREENWICH ST,E 127 ST / 2 AV,2884
BETHUNE ST / GREENWICH ST,E 97 ST / 1 AV,2495
BETHUNE ST / GREENWICH ST,12 AV / W 42 ST,1020
BETHUNE ST / GREENWICH ST,EAST 68 ST / YORK AV,2362
BETHUNE ST / GREENWICH ST,SOUTH ST / WHITEHALL ST,1623
BETHUNE ST / GREENWICH ST,E 105 ST / FDR DR,3480
BETHUNE ST / GREENWICH ST,E 126 ST / 2 AV,2920
BETHUNE ST / GREENWICH ST,GRAND ST / FDR DR,1599
BETHUNE ST / GREENWICH ST,STATE ST / WHITEHALL ST,1540
BETHUNE ST / GREENWICH ST,CENTRE ST / BROOME ST,1059
BETHUNE ST / GREENWICH ST,WEST ST / CHRISTOPHER ST,419
BETHUNE ST / GREENWICH ST,LEXINGTON AV / E 125 ST,2883
BETHUNE ST / GREENWICH ST,1 AV / E 26 ST,1224
BETHUNE ST / GREENWICH ST,PLEASANT AV / E 120 ST,2799
BETHUNE ST / GREENWICH ST,W 44 St / 6 AV,1239
BETHUNE ST / GREENWICH ST,W 31 ST / 6 AV,1019
BETHUNE ST / GREENWICH ST,W 54 ST / 11 AV,1164
BETHUNE ST / GREENWICH ST,AV D / LOOP,1173
BETHUNE ST / GREENWICH ST,W 168 ST / AUDUBON AV,4405
BETHUNE ST / GREENWICH ST,FT GEORGE AV / 66 FT GEORGE AV,5004
BETHUNE ST / GREENWICH ST,LIC,2606
W 41 ST / 8 AV,BROADWAY / W 64 ST,567
W 41 ST / 8 AV,WASHINGTON ST / W HOUSTON ST,1428
W 41 ST / 8 AV,RIVERBANK / STATE PARK,3600
W 41 ST / 8 AV,AMSTERDAM AV / W 129 ST,2700
W 41 ST / 8 AV,W 106 ST / BROADWAY,1950
W 41 ST / 8 AV,W 66 ST / WEST END AV,1140
W 41 ST / 8 AV,W 96 ST / WEST END AV,1860
W 41 ST / 8 AV,BROADWAY / WEST 57 ST,420
W 41 ST / 8 AV,AV OF THE AMERICAS / W 14 ST,902
W 41 ST / 8 AV,E 127 ST / 2 AV,2603
W 41 ST / 8 AV,E 97 ST / 1 AV,2214
W 41 ST / 8 AV,12 AV / W 42 ST,391
W 41 ST / 8 AV,EAST 68 ST / YORK AV,1663
W 41 ST / 8 AV,SOUTH ST / WHITEHALL ST,2037
W 41 ST / 8 AV,E 105 ST / FDR DR,2098
W 41 ST / 8 AV,E 126 ST / 2 AV,2639
W 41 ST / 8 AV,GRAND ST / FDR DR,2134
W 41 ST / 8 AV,STATE ST / WHITEHALL ST,1954
W 41 ST / 8 AV,CENTRE ST / BROOME ST,1378
W 41 ST / 8 AV,WEST ST / CHRISTOPHER ST,1857
W 41 ST / 8 AV,LEXINGTON AV / E 125 ST,2902
W 41 ST / 8 AV,1 AV / E 26 ST,1444
W 41 ST / 8 AV,PLEASANT AV / E 120 ST,2218
W 41 ST / 8 AV,W 44 St / 6 AV,686
W 41 ST / 8 AV,W 31 ST / 6 AV,646
W 41 ST / 8 AV,W 54 ST / 11 AV,1218
W 41 ST / 8 AV,AV D / LOOP,1930
W 41 ST / 8 AV,W 168 ST / AUDUBON AV,3718
W 41 ST / 8 AV,FT GEORGE AV / 66 FT GEORGE AV,4344
W 41 ST / 8 AV,LIC,2625
PLEASANT AV / E 120 ST,BROADWAY / W 64 ST,2299
PLEASANT AV / E 120 ST,WASHINGTON ST / W HOUSTON ST,4557
PLEASANT AV / E 120 ST,RIVERBANK / STATE PARK,2158
PLEASANT AV / E 120 ST,AMSTERDAM AV / W 129 ST,1823
PLEASANT AV / E 120 ST,W 106 ST / BROADWAY,1380
PLEASANT AV / E 120 ST,W 66 ST / WEST END AV,2593
PLEASANT AV / E 120 ST,W 96 ST / WEST END AV,2397
PLEASANT AV / E 120 ST,BROADWAY / WEST 57 ST,2340
PLEASANT AV / E 120 ST,AV OF THE AMERICAS / W 14 ST,3103
PLEASANT AV / E 120 ST,E 127 ST / 2 AV,443
PLEASANT AV / E 120 ST,E 97 ST / 1 AV,1068
PLEASANT AV / E 120 ST,12 AV / W 42 ST,3537
PLEASANT AV / E 120 ST,EAST 68 ST / YORK AV,2457
PLEASANT AV / E 120 ST,SOUTH ST / WHITEHALL ST,3948
PLEASANT AV / E 120 ST,E 105 ST / FDR DR,2217
PLEASANT AV / E 120 ST,E 126 ST / 2 AV,479
PLEASANT AV / E 120 ST,GRAND ST / FDR DR,3720
PLEASANT AV / E 120 ST,STATE ST / WHITEHALL ST,3906
PLEASANT AV / E 120 ST,CENTRE ST / BROOME ST,3420
PLEASANT AV / E 120 ST,WEST ST / CHRISTOPHER ST,4317
PLEASANT AV / E 120 ST,LEXINGTON AV / E 125 ST,677
PLEASANT AV / E 120 ST,1 AV / E 26 ST,2526
PLEASANT AV / E 120 ST,W 44 St / 6 AV,2427
PLEASANT AV / E 120 ST,W 31 ST / 6 AV,3123
PLEASANT AV / E 120 ST,W 54 ST / 11 AV,2877
PLEASANT AV / E 120 ST,AV D / LOOP,4257
PLEASANT AV / E 120 ST,W 168 ST / AUDUBON AV,2580
PLEASANT AV / E 120 ST,FT GEORGE AV / 66 FT GEORGE AV,3562
PLEASANT AV / E 120 ST,LIC,3464
E 67 ST / YORK AV,BROADWAY / W 64 ST,1352
E 67 ST / YORK AV,WASHINGTON ST / W HOUSTON ST,3002
E 67 ST / YORK AV,RIVERBANK / STATE PARK,3240
E 67 ST / YORK AV,AMSTERDAM AV / W 129 ST,3137
E 67 ST / YORK AV,W 106 ST / BROADWAY,2475
E 67 ST / YORK AV,W 66 ST / WEST END AV,840
E 67 ST / YORK AV,W 96 ST / WEST END AV,2307
E 67 ST / YORK AV,BROADWAY / WEST 57 ST,1089
E 67 ST / YORK AV,AV OF THE AMERICAS / W 14 ST,1840
E 67 ST / YORK AV,E 127 ST / 2 AV,1492
E 67 ST / YORK AV,E 97 ST / 1 AV,956
E 67 ST / YORK AV,12 AV / W 42 ST,1886
E 67 ST / YORK AV,EAST 68 ST / YORK AV,48
E 67 ST / YORK AV,SOUTH ST / WHITEHALL ST,2834
E 67 ST / YORK AV,E 105 ST / FDR DR,1887
E 67 ST / YORK AV,E 126 ST / 2 AV,1680
E 67 ST / YORK AV,GRAND ST / FDR DR,2366
E 67 ST / YORK AV,STATE ST / WHITEHALL ST,2792
E 67 ST / YORK AV,CENTRE ST / BROOME ST,2085
E 67 ST / YORK AV,WEST ST / CHRISTOPHER ST,2246
E 67 ST / YORK AV,LEXINGTON AV / E 125 ST,1906
E 67 ST / YORK AV,1 AV / E 26 ST,1292
E 67 ST / YORK AV,PLEASANT AV / E 120 ST,1740
E 67 ST / YORK AV,W 44 St / 6 AV,1239
E 67 ST / YORK AV,W 31 ST / 6 AV,1832
E 67 ST / YORK AV,W 54 ST / 11 AV,1368
E 67 ST / YORK AV,AV D / LOOP,2186
E 67 ST / YORK AV,W 168 ST / AUDUBON AV,3180
E 67 ST / YORK AV,FT GEORGE AV / 66 FT GEORGE AV,4980
E 67 ST / YORK AV,LIC,2375
E 97 ST / 1 AV,BROADWAY / W 64 ST,1639
E 97 ST / 1 AV,WASHINGTON ST / W HOUSTON ST,2819
E 97 ST / 1 AV,RIVERBANK / STATE PARK,2280
E 97 ST / 1 AV,AMSTERDAM AV / W 129 ST,1857
E 97 ST / 1 AV,W 106 ST / BROADWAY,1350
E 97 ST / 1 AV,W 66 ST / WEST END AV,1739
E 97 ST / 1 AV,W 96 ST / WEST END AV,960
E 97 ST / 1 AV,BROADWAY / WEST 57 ST,1620
E 97 ST / 1 AV,AV OF THE AMERICAS / W 14 ST,2202
E 97 ST / 1 AV,E 127 ST / 2 AV,714
E 97 ST / 1 AV,12 AV / W 42 ST,2326
E 97 ST / 1 AV,EAST 68 ST / YORK AV,1319
E 97 ST / 1 AV,SOUTH ST / WHITEHALL ST,3047
E 97 ST / 1 AV,E 105 ST / FDR DR,2400
E 97 ST / 1 AV,E 126 ST / 2 AV,750
E 97 ST / 1 AV,GRAND ST / FDR DR,2699
E 97 ST / 1 AV,STATE ST / WHITEHALL ST,3005
E 97 ST / 1 AV,CENTRE ST / BROOME ST,2760
E 97 ST / 1 AV,WEST ST / CHRISTOPHER ST,2579
E 97 ST / 1 AV,LEXINGTON AV / E 125 ST,948
E 97 ST / 1 AV,1 AV / E 26 ST,1625
E 97 ST / 1 AV,PLEASANT AV / E 120 ST,809
E 97 ST / 1 AV,W 44 St / 6 AV,1779
E 97 ST / 1 AV,W 31 ST / 6 AV,1980
E 97 ST / 1 AV,W 54 ST / 11 AV,1938
E 97 ST / 1 AV,AV D / LOOP,2519
E 97 ST / 1 AV,W 168 ST / AUDUBON AV,2279
E 97 ST / 1 AV,FT GEORGE AV / 66 FT GEORGE AV,3563
E 97 ST / 1 AV,LIC,2086
FRED DOUGLASS BL / W 158 ST,BROADWAY / W 64 ST,2419
FRED DOUGLASS BL / W 158 ST,WASHINGTON ST / W HOUSTON ST,4786
FRED DOUGLASS BL / W 158 ST,RIVERBANK / STATE PARK,960
FRED DOUGLASS BL / W 158 ST,AMSTERDAM AV / W 129 ST,1162
FRED DOUGLASS BL / W 158 ST,W 106 ST / BROADWAY,1604
FRED DOUGLASS BL / W 158 ST,W 66 ST / WEST END AV,2820
FRED DOUGLASS BL / W 158 ST,W 96 ST / WEST END AV,2280
FRED DOUGLASS BL / W 158 ST,BROADWAY / WEST 57 ST,2460
FRED DOUGLASS BL / W 158 ST,AV OF THE AMERICAS / W 14 ST,3821
FRED DOUGLASS BL / W 158 ST,E 127 ST / 2 AV,1899
FRED DOUGLASS BL / W 158 ST,E 97 ST / 1 AV,2340
FRED DOUGLASS BL / W 158 ST,12 AV / W 42 ST,3826
FRED DOUGLASS BL / W 158 ST,EAST 68 ST / YORK AV,3777
FRED DOUGLASS BL / W 158 ST,SOUTH ST / WHITEHALL ST,5169
FRED DOUGLASS BL / W 158 ST,E 105 ST / FDR DR,2446
FRED DOUGLASS BL / W 158 ST,E 126 ST / 2 AV,1520
FRED DOUGLASS BL / W 158 ST,GRAND ST / FDR DR,5086
FRED DOUGLASS BL / W 158 ST,STATE ST / WHITEHALL ST,5086
FRED DOUGLASS BL / W 158 ST,CENTRE ST / BROOME ST,4512
FRED DOUGLASS BL / W 158 ST,WEST ST / CHRISTOPHER ST,4546
FRED DOUGLASS BL / W 158 ST,LEXINGTON AV / E 125 ST,1433
FRED DOUGLASS BL / W 158 ST,1 AV / E 26 ST,3910
FRED DOUGLASS BL / W 158 ST,PLEASANT AV / E 120 ST,2220
FRED DOUGLASS BL / W 158 ST,W 44 St / 6 AV,3253
FRED DOUGLASS BL / W 158 ST,W 31 ST / 6 AV,4006
FRED DOUGLASS BL / W 158 ST,W 54 ST / 11 AV,3438
FRED DOUGLASS BL / W 158 ST,AV D / LOOP,4486
FRED DOUGLASS BL / W 158 ST,W 168 ST / AUDUBON AV,539
