WEST SHORE PLAZA / CHELSEA ST,ST GEORGE FERRY / ST GEORGE FERRY,2580
WEST SHORE PLAZA / CHELSEA ST,YUKON AV / KMART DRWY,2280
WEST SHORE PLAZA / CHELSEA ST,LINCOLN AV / RICHMOND RD,3437
WEST SHORE PLAZA / CHELSEA ST,MARSH AV / RING RD,2460
WEST SHORE PLAZA / CHELSEA ST,4 AV / 86 ST,3840
WEST SHORE PLAZA / CHELSEA ST,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,5400
WEST SHORE PLAZA / CHELSEA ST,LIC,7547
YUKON AV / KMART DWY,ST GEORGE FERRY / ST GEORGE FERRY,2785
YUKON AV / KMART DWY,YUKON AV / KMART DRWY,44
YUKON AV / KMART DWY,LINCOLN AV / RICHMOND RD,1433
YUKON AV / KMART DWY,MARSH AV / RING RD,513
YUKON AV / KMART DWY,4 AV / 86 ST,3631
YUKON AV / KMART DWY,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,3156
YUKON AV / KMART DWY,LIC,6329
ST GEORGE FERRY / S44 & S94,ST GEORGE FERRY / ST GEORGE FERRY,22
ST GEORGE FERRY / S44 & S94,YUKON AV / KMART DRWY,2880
ST GEORGE FERRY / S44 & S94,LINCOLN AV / RICHMOND RD,1746
ST GEORGE FERRY / S44 & S94,MARSH AV / RING RD,2326
ST GEORGE FERRY / S44 & S94,4 AV / 86 ST,2867
ST GEORGE FERRY / S44 & S94,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4222
ST GEORGE FERRY / S44 & S94,LIC,6694
HOLLAND AV / BENJAMIN PL,ST GEORGE FERRY / ST GEORGE FERRY,2105
HOLLAND AV / BENJAMIN PL,YUKON AV / KMART DRWY,2228
HOLLAND AV / BENJAMIN PL,LINCOLN AV / RICHMOND RD,3187
HOLLAND AV / BENJAMIN PL,MARSH AV / RING RD,2040
HOLLAND AV / BENJAMIN PL,4 AV / 86 ST,3540
HOLLAND AV / BENJAMIN PL,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4800
HOLLAND AV / BENJAMIN PL,LIC,6407
ST GEORGE FERRY / S51 & S81,ST GEORGE FERRY / ST GEORGE FERRY,24
ST GEORGE FERRY / S51 & S81,YUKON AV / KMART DRWY,2520
ST GEORGE FERRY / S51 & S81,LINCOLN AV / RICHMOND RD,1735
ST GEORGE FERRY / S51 & S81,MARSH AV / RING RD,2284
ST GEORGE FERRY / S51 & S81,4 AV / 86 ST,1920
ST GEORGE FERRY / S51 & S81,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4200
ST GEORGE FERRY / S51 & S81,LIC,5987
4 AV / 86 ST,ST GEORGE FERRY / ST GEORGE FERRY,1740
4 AV / 86 ST,YUKON AV / KMART DRWY,2880
4 AV / 86 ST,LINCOLN AV / RICHMOND RD,1917
4 AV / 86 ST,MARSH AV / RING RD,3060
4 AV / 86 ST,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4839
4 AV / 86 ST,LIC,5387
RICHMOND TER / PARK AV,ST GEORGE FERRY / ST GEORGE FERRY,1754
RICHMOND TER / PARK AV,YUKON AV / KMART DRWY,1980
RICHMOND TER / PARK AV,LINCOLN AV / RICHMOND RD,2117
RICHMOND TER / PARK AV,MARSH AV / RING RD,2284
RICHMOND TER / PARK AV,4 AV / 86 ST,2640
RICHMOND TER / PARK AV,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4200
RICHMOND TER / PARK AV,LIC,6133
BRICKTOWN SHOPPING / CENTER,ST GEORGE FERRY / ST GEORGE FERRY,4500
BRICKTOWN SHOPPING / CENTER,YUKON AV / KMART DRWY,2139
BRICKTOWN SHOPPING / CENTER,LINCOLN AV / RICHMOND RD,3000
BRICKTOWN SHOPPING / CENTER,MARSH AV / RING RD,2280
BRICKTOWN SHOPPING / CENTER,4 AV / 86 ST,4140
BRICKTOWN SHOPPING / CENTER,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,111
BRICKTOWN SHOPPING / CENTER,LIC,7913
ST GEORGE FERRY / S78,ST GEORGE FERRY / ST GEORGE FERRY,11
ST GEORGE FERRY / S78,YUKON AV / KMART DRWY,2520
ST GEORGE FERRY / S78,LINCOLN AV / RICHMOND RD,1687
ST GEORGE FERRY / S78,MARSH AV / RING RD,2284
ST GEORGE FERRY / S78,4 AV / 86 ST,2119
ST GEORGE FERRY / S78,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4200
ST GEORGE FERRY / S78,LIC,5987
LIC,ST GEORGE FERRY / ST GEORGE FERRY,5388
LIC,YUKON AV / KMART DRWY,6228
LIC,LINCOLN AV / RICHMOND RD,5275
LIC,MARSH AV / RING RD,5992
LIC,4 AV / 86 ST,5107
LIC,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,6528
