ST GEORGE FERRY / S40 & S90,FRANK W. GAY BL / 10 AV,2040
ST GEORGE FERRY / S40 & S90,4 AV / 86 ST,2145
ST GEORGE FERRY / S40 & S90,MARSH AV / RING RD,3300
ST GEORGE FERRY / S40 & S90,HOLLAND AV / BENJAMIN PL,2160
ST GEORGE FERRY / S40 & S90,MILL RD / TARLTON ST,2187
ST GEORGE FERRY / S40 & S90,VICTORY BL / opp Con Edison,2196
ST GEORGE FERRY / S40 & S90,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4044
ST GEORGE FERRY / S40 & S90,RICHMOND TER / PARK AV #2,867
ST GEORGE FERRY / S40 & S90,ST GEORGE FERRY / ST GEORGE FERRY,54
ST GEORGE FERRY / S40 & S90,WEST SHORE PLAZA / CHELSEA ST,2400
ST GEORGE FERRY / S40 & S90,LIC,6816
RICHMOND TER / PARK AV,FRANK W. GAY BL / 10 AV,1227
RICHMOND TER / PARK AV,4 AV / 86 ST,2400
RICHMOND TER / PARK AV,MARSH AV / RING RD,2164
RICHMOND TER / PARK AV,HOLLAND AV / BENJAMIN PL,1347
RICHMOND TER / PARK AV,MILL RD / TARLTON ST,3583
RICHMOND TER / PARK AV,VICTORY BL / opp Con Edison,2160
RICHMOND TER / PARK AV,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4020
RICHMOND TER / PARK AV,RICHMOND TER / PARK AV #2,36
RICHMOND TER / PARK AV,ST GEORGE FERRY / ST GEORGE FERRY,839
RICHMOND TER / PARK AV,WEST SHORE PLAZA / CHELSEA ST,1587
RICHMOND TER / PARK AV,LIC,6756
4 AV / 86 ST,FRANK W. GAY BL / 10 AV,3879
4 AV / 86 ST,MARSH AV / RING RD,3000
4 AV / 86 ST,HOLLAND AV / BENJAMIN PL,3099
4 AV / 86 ST,MILL RD / TARLTON ST,3099
4 AV / 86 ST,VICTORY BL / opp Con Edison,3099
4 AV / 86 ST,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,3960
4 AV / 86 ST,RICHMOND TER / PARK AV #2,2458
4 AV / 86 ST,ST GEORGE FERRY / ST GEORGE FERRY,2319
4 AV / 86 ST,WEST SHORE PLAZA / CHELSEA ST,4359
4 AV / 86 ST,LIC,5316
ST GEORGE FERRY / S48 & S98,FRANK W. GAY BL / 10 AV,2070
