ST GEORGE FERRY / S74 & S84,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4860
ST GEORGE FERRY / S74 & S84,ST GEORGE FERRY / ST GEORGE FERRY,34
ST GEORGE FERRY / S74 & S84,RICHMOND TER / PARK AV #2,1131
ST GEORGE FERRY / S74 & S84,RICHMOND TER / PARK AV #1,1142
ST GEORGE FERRY / S74 & S84,MARSH AV / RING RD,2565
ST GEORGE FERRY / S74 & S84,CLYDE PL / ARNOLD ST,857
ST GEORGE FERRY / S74 & S84,4 AV / 87 ST,2700
ST GEORGE FERRY / S74 & S84,LINCOLN AV / RICHMOND RD,1905
ST GEORGE FERRY / S74 & S84,GRANDVIEW AV / FOREST AV,2357
ST GEORGE FERRY / S74 & S84,C ST / 1 AV,2280
ST GEORGE FERRY / S74 & S84,FRANK W. GAY BL / 10 AV,2484
ST GEORGE FERRY / S74 & S84,VICTORY BL / opp Con Edison,2640
ST GEORGE FERRY / S74 & S84,4 AV / 86 ST,2760
ST GEORGE FERRY / S74 & S84,HOLLAND AV / BENJAMIN PL,2580
ST GEORGE FERRY / S74 & S84,EYLENDT ST / LUTEN AV,4288
ST GEORGE FERRY / S74 & S84,YUKON AV / KMART DRWY,2820
ST GEORGE FERRY / S74 & S84,PARK AV / RICHMOND TER #2,1140
ST GEORGE FERRY / S74 & S84,EBBITTS ST / HYLAN BL,2853
ST GEORGE FERRY / S74 & S84,MILL RD / TARLTON ST,2760
ST GEORGE FERRY / S74 & S84,BROADWAY / RICHMOND TER,1506
ST GEORGE FERRY / S74 & S84,LIC,6680
MILL RD / DEWITT AV,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,2940
MILL RD / DEWITT AV,ST GEORGE FERRY / ST GEORGE FERRY,3000
MILL RD / DEWITT AV,RICHMOND TER / PARK AV #2,2940
MILL RD / DEWITT AV,RICHMOND TER / PARK AV #1,2959
MILL RD / DEWITT AV,MARSH AV / RING RD,2227
MILL RD / DEWITT AV,CLYDE PL / ARNOLD ST,4140
MILL RD / DEWITT AV,4 AV / 87 ST,3055
MILL RD / DEWITT AV,LINCOLN AV / RICHMOND RD,1257
MILL RD / DEWITT AV,GRANDVIEW AV / FOREST AV,3077
MILL RD / DEWITT AV,C ST / 1 AV,2940
MILL RD / DEWITT AV,FRANK W. GAY BL / 10 AV,4560
MILL RD / DEWITT AV,VICTORY BL / opp Con Edison,3360
